animal_name,wikipedia_sentence
オカピ,オカピ（Okapia johnstoni）は、哺乳綱偶蹄目（鯨偶蹄目とする説もあり）キリン科オカピ属に分類される偶蹄類。
ガゼル,ガゼル (Gazelle) は、ウシ科ブラックバック亜科ブラックバック族ブラックバック亜族の3属、ガゼル属 Gazella・トムソンガゼル属 Eudorcas・ダマガゼル属 Nanger の総称である。これらは近縁で、かつてはガゼル属1属とすることもあったが、単系統性が不確実であり、現在では3属に分割される。これら3属の他、1ないし数属をガゼルに含めることも（主に古い文献で）あるが、ここではこれら3属をガゼルとして扱う。
キツネ,キツネ（狐）は、哺乳綱食肉目イヌ科イヌ亜科の一部。狭義にはキツネ属のことである。広義には、明確な定義はないがイヌ亜科の数属を総称するが、これは互いに近縁でない属から構成される多系統である。最も狭義にはキツネ属の1種アカギツネのことである。古来、日本で「狐」といえば、アカギツネの亜種ホンドギツネのことだったが、蝦夷地進出後は、北海道の別亜種キタキツネも含むようになった。ただし、この記事では広義のキツネを扱うものとする。キツネ属、アカギツネについてはそれぞれの記事を参照。
キリン,キリン（麒麟、学名: Giraffa camelopardalis）は、哺乳綱偶蹄目（鯨偶蹄目とする説もあり）キリン科キリン属に分類される偶蹄類。亜種を独立させ複数種に分割する説も提唱されており、その場合、「キリン」はキリン属（Giraffa）に属す複数種の総称となる。
クジラ,クジラ（鯨、鯢、英: Whale）は、哺乳類のクジラ目、あるいは鯨偶蹄目の鯨凹歯類に属する水生動物の総称であり、その形態からハクジラとヒゲクジラに大別される。ハクジラのうち、比較的小型（成体の体長が5 m前後以下）の種をイルカと呼び区別することが多いが、クジラ類をイルカとクジラに大別するのは人為分類である。
ゴリラ,ゴリラは、霊長目ヒト科ゴリラ属（ゴリラぞく、Gorilla）に分類される構成種の総称。
シャチ,シャチ（鯱、学名: Orcinus orca）は、哺乳綱鯨偶蹄目マイルカ科シャチ属の海獣である。日本ではサカマタ（逆叉、逆戟）という別名もある。シャチは、魚類全般、サメだけでなく、自分の倍以上の大きさであるヒゲクジラ亜目のうち最大のシロナガスクジラを含むクジラなどを群れで襲って食べる。寿命が長く、年長のメスを中心とする母系社会を形成する社会性を持つ動物。
ジャマ,リャマ、ラマ、ジャマ（羊駝、駱馬、西: Llama、学名: Lama glama）は、鯨偶蹄目ラクダ科の動物である。別名アメリカラクダ。体高約1.2m、体重70-140kg。南アメリカのアンデス地方に多く住む。姿はラクダと似ているが、背中にコブはなく、むしろ凹んで見える平らな背で、全身が毛で覆われている。白い毛のものと茶色の毛のもの、白と茶色がまだらになったものがいる。足から頭までの体長は1m程度。頭から尻までの長さは2m程度。まつげが長く目がパッチリしている。性格はおとなしく、人に慣れやすい。ボリビアやペルーの山岳地方では古くから家畜として多く飼われており、荷物の運搬用に用いられたり、毛や皮を衣類に用いたりしている。肉を食べることもあるが、儀式などの特別な時以外はあまり食べられてはいない。日本でも、動物園などで飼育されている事例がある（那須どうぶつ王国、上野動物園、マザー牧場、長崎バイオパークなど）。寒冷で小雨なアンデスでは木材があまり無いため、リャマの糞が貴重な燃料として使われている。近年、都市部においては用いられることが少なくなったが、田舎では現在もリャマの糞で煮炊きをしている人々がいる。非常に近縁の動物として、アルパカ・ビクーニャ・グアナコがいる。このうち、グアナコを家畜化したのがリャマだと考えられている。これらの動物よりもリャマの方が圧倒的に飼育数が多い。
タヌキ,タヌキ（狸、Nyctereutes procyonoides）は、哺乳綱食肉目イヌ科タヌキ属に分類される食肉類、あるいはタヌキ属Nyctereutesに分類される現生種の総称。現生種は1種のみとされていたが、遺伝子解析の結果により大陸産のN. procyonoidesと日本産のN. viverrinusの2種に分けるという説が出されている。
ネズミ,ネズミ（鼠または鼡）は、哺乳類ネズミ目（齧歯目）の数科の総称である。ハツカネズミ、ドブネズミ（ペットとしてはファンシーラット）など、1300種あるいは1065-1800種が含まれ、一大グループを形成している。英語では大型のものを「Rat」、小型のものを「Mouse」と呼ぶ。
ノヤギ,"パサン (Pasang, Capra aegagrus) は、哺乳綱鯨偶蹄目ウシ科ヤギ属に分類される1種。別名ノヤギ（野山羊）。"
パサン,"パサン (Pasang, Capra aegagrus) は、哺乳綱鯨偶蹄目ウシ科ヤギ属に分類される1種。別名ノヤギ（野山羊）。"
パンダ,"パンダ (panda) は、ネコ目（食肉目）に属するジャイアントパンダ（クマ科）とレッサーパンダ（レッサーパンダ科）の2種の総称。熊猫（シュウマオ）とも。ただし単にパンダといった場合、ジャイアントパンダのことを指すことが多い。ジャイアントパンダとレッサーパンダは食肉目に属しながらともに草食適応を果たした種であるが、Ledje and Arnason（1996a, b）の分子系統解析などにより両者は近縁ではないと結論づけられている。中国を代表する動物だが、生息地は四川省の一部などと狭く、中国全土に生息しているわけではない。"
ヒグマ,ヒグマ（羆、緋熊、樋熊、学名：Ursus arctos）は、クマ科に属する哺乳類である。ホッキョクグマと並びクマ科では最大の体長を誇る。また、日本に生息する陸棲哺乳類（草食獣を含む）でも最大の種である。学名Ursus arctos（ウルスス・アルクトス）のUrsus はラテン語でクマ、arctosはギリシャ語でクマを意味するἄρκτοςをラテン化したものである。
ヒツジ,ヒツジ（羊、綿羊、学名 Ovis aries）は、ウシ科ヤギ亜科の鯨偶蹄目である。角を持ち、主に羊毛のために家畜化されている。
ヒョウ,ヒョウ（豹、Panthera pardus）は、哺乳綱食肉目ネコ科ヒョウ属に分類される食肉類。
ボノボ,ボノボ（Pan paniscus）は、哺乳綱霊長目ヒト科チンパンジー属に分類される霊長類。別名ピグミーチンパンジー。
マカク,マカク属（マカクぞく、Macaca）は、哺乳綱霊長目オナガザル科に含まれる属。
モグラ,モグラ科（モグラか、Talpidae）は、哺乳綱真無盲腸目に分類される科。
ヤマネ,ヤマネ（山鼠、冬眠鼠、学名: Glirulus japonicus）は、哺乳綱齧歯目ヤマネ科に分類される齧歯類。現生種では本種のみでヤマネ属を構成する。別名ニホンヤマネ。
ラクダ,ラクダ（駱駝）は、哺乳類・ウシ目（鯨偶蹄目）・ラクダ科・ラクダ属 Camelus の動物の総称。西アジア原産で背中に1つのコブ（瘤）を持つヒトコブラクダ (Camelus dromedarius) と、中央アジア原産で2つのコブをもつ2種のフタコブラクダ（Camelus bactrianus と Camelus ferus）の3種が現存する。砂漠などの乾燥地帯に最も適応した家畜であり、古くから乾燥地帯への人類の拡大に大きな役割を果たしている。
ラッコ,"ラッコ（海獺、Sea otter, Enhydra lutris）は、食肉目イタチ科ラッコ属に分類される哺乳類で、海獣の一種。現生種では本種のみでラッコ属を構成する。北太平洋の北アメリカ大陸から千島列島の沿岸にかけて棲息。毛皮を採取するため乱獲され、日本では20世紀初頭に絶滅したと考えられていたが、北海道東部（道東）で1980年代から再び目撃されるようになり、モユルリ島（根室市）、霧多布岬（浜中町）では繁殖も確認されている。水族館で飼育もされている。世界的には生息域や個体数の減少を受けて保護対象となっており、ワシントン条約で取引が規制され、国際自然保護連合（IUCN）が2000年から絶滅危惧種に分類している。"
リャマ,リャマ、ラマ、ジャマ（羊駝、駱馬、西: Llama、学名: Lama glama）は、鯨偶蹄目ラクダ科の動物である。別名アメリカラクダ。体高約1.2m、体重70-140kg。南アメリカのアンデス地方に多く住む。姿はラクダと似ているが、背中にコブはなく、むしろ凹んで見える平らな背で、全身が毛で覆われている。白い毛のものと茶色の毛のもの、白と茶色がまだらになったものがいる。足から頭までの体長は1m程度。頭から尻までの長さは2m程度。まつげが長く目がパッチリしている。性格はおとなしく、人に慣れやすい。ボリビアやペルーの山岳地方では古くから家畜として多く飼われており、荷物の運搬用に用いられたり、毛や皮を衣類に用いたりしている。肉を食べることもあるが、儀式などの特別な時以外はあまり食べられてはいない。日本でも、動物園などで飼育されている事例がある（那須どうぶつ王国、上野動物園、マザー牧場、長崎バイオパークなど）。寒冷で小雨なアンデスでは木材があまり無いため、リャマの糞が貴重な燃料として使われている。近年、都市部においては用いられることが少なくなったが、田舎では現在もリャマの糞で煮炊きをしている人々がいる。非常に近縁の動物として、アルパカ・ビクーニャ・グアナコがいる。このうち、グアナコを家畜化したのがリャマだと考えられている。これらの動物よりもリャマの方が圧倒的に飼育数が多い。
アイアイ,アイアイ（指猿、英: aye-aye、学名: Daubentonia madagascariensis）は、哺乳綱霊長目アイアイ科アイアイ属に分類される霊長類。現生種では本種のみでアイアイ科アイアイ属を構成する。別名ユビザル（指猿）。
アザラシ,アザラシ（海豹、Phocidae）は、鰭脚類に含まれる海棲哺乳類（海獣）のグループである。アザラシ科、もしくはアザラシ科アザラシ亜科に分類される。
アフリカ,アフリカ（ラテン語: Āfrica、英語: Africa）は、広義にはアフリカ大陸およびその周辺のマダガスカル島などの島嶼・海域を含む地域の総称で、大州の一つ。漢字表記は阿弗利加であり阿州（阿洲、あしゅう）とも呼ぶ。省略する場合は「阿」を用いる。
アメリカ,アメリカ合衆国United States of America国の標語：E pluribus unum（1776年8月 - 現在）（ラテン語:多数から一つへ）In God We Trust（1956年7月 - 現在）（英語:我らは神を信ずる）Annuit cœptis（ラテン語:神は我らの企てに与し給えり）Novus ordo seclorum（ラテン語:時代の新秩序）国歌：The Star-Spangled Banner（英語）星条旗アメリカ合衆国（アメリカがっしゅうこく、英語: United States of America）は、北アメリカに位置し、大西洋および太平洋に面する連邦共和制国家。首都はコロンビア特別区（ワシントンD.C.）。アメリカ合衆国（United States of America）の頭文字を取って「U.S.A.」もしくは「USA」、合衆国（United States）の頭文字を取って「U.S.」もしくは「US」、または単にアメリカ（America）とも称される。日本語においては、アメリカの漢字音訳から亜米利加、米国（べいこく）または単に米（べい）とも称される。日本語の口語や通称としては「アメリカ」と言われる場合は後述の本土（48州）のみを示し、アラスカ州やハワイ州などを含まない。
アリクイ,アリクイ（蟻食・蟻喰・食蟻獣）は、哺乳綱有毛目に分類されるアリクイ亜目（虫舌亜目、Vermilingua）を構成する種の総称。アリやシロアリを食べることからアリクイ、英語でもアントイーター（anteater）と呼ぶ。分類群の学名 （Vermilingua）は「蠕虫状の舌」を意味する。
アルパカ,アルパカ（羊駄、羊駱駝、羊駝、西・英: alpaca、学名: Vicugna pacos）は、南アメリカ大陸原産の家畜の1種である。ラクダ科のビクーニャ属またはラマ属に属する。極めて良質な体毛を具えており、古来、衣類を始めとする生活用品への体毛の加工利用が品種改良の目的であった。
イエイヌ,イヌ（犬、狗、学名：Canis lupus familiaris、ラテン語名：canis、英名：dog、domestic dog）は、食肉目イヌ科イヌ属に分類される哺乳類の一種である。属名 Canis、種小名 lupus はラテン語でそれぞれ「犬」「狼」の意。亜種名 familiaris はやはりラテン語で、「家庭に属する」といった意味である。広義には、イヌ科動物全般を指すこともある（後述）。野生のイヌ（野犬）もいるが、古くからヒトに猟犬や番犬、牧羊犬、軍用犬、警察犬などとして使役されたほか、愛玩動物（ペット）として飼われており、多様な犬種がいる。
イエネコ,ネコ（猫）は、狭義には食肉目ネコ科ネコ属に分類されるリビアヤマネコ（ヨーロッパヤマネコ）が家畜化されたイエネコ（家猫、Felis silvestris catus）に対する通称である。イヌ（犬）と並ぶ代表的なペットとして、世界中で飼われている。広義的には、ヤマネコやネコ科動物全般を指すこともある（後述）。
イッカク,イッカク (Monodon monoceros) は、哺乳綱偶蹄目（鯨偶蹄目とする説もあり）イッカク科イッカク属に分類される鯨類。本種のみでイッカク属を構成する。雄が非常に長い一本角（実際は牙）をもつことで知られる。
イノシシ,イノシシ（猪・豬、英名：Wild boar、学名：Sus scrofa）は、鯨偶蹄目イノシシ科の動物の一種。本種を家畜化したものがブタである。
インパラ,インパラ（Aepyceros melampus）は、ウシ科に分類される偶蹄類。本種のみでインパラ属を構成する。
エゾリス,エゾリス（蝦夷栗鼠、Sciurus vulgaris orientis）は、ネズミ目（齧歯目）リス科リス属キタリス種の亜種で、北海道に生息するリスである。和名「蝦夷栗鼠」の命名者は黒田長禮。種の学名Sciurus vulgarisの意味は「平凡な栗鼠」で、Sciurusが「リス」、vulgarisが「平凡な」。1940年代までは「木鼠」（キネズミ）という俗名で猟師や山子（やまご）の間で呼ばれていた。
オオカミ,オオカミ（狼、英: wolf、学名：Canis lupus）は、ユーラシア大陸と北アメリカに生息する大型のイヌ属の哺乳動物で、ハイイロオオカミとも呼ばれている。30以上の亜種が認識されており、口語的に理解されているハイイロオオカミは、家畜化されていない野生の亜種で構成されている。オオカミは現存するイヌ科の動物の中で最大の動物である。また、他のイヌ科の動物とは、耳やマズルがあまり尖っていないこと、胴体が短く、尾が長いことで区別される。しかし、オオカミはコヨーテやゴールデンジャッカルなどの小型のイヌ科動物と近縁であり、それらの動物との間に生殖能力のある交配種を生み出している。オオカミの帯状の毛皮は通常、白色、茶色、灰色、黒色が混ざっているが、北極圏の亜種はほとんど白であることもある。オオカミはイヌ属の中で最も協力的な狩猟に特化しており、大きな獲物に挑むための身体的適応や、より社会的な性質、高度な表現行動などがそれを示している。オオカミは、交尾したペアとその子供からなる核家族で移動する。子は性的に成熟すると、また群れの中での餌の奪い合いに応じて、それぞれの群れを形成するために離れることがある。また、オオカミには縄張り意識があり、縄張りをめぐる争いがオオカミの主な死亡原因となっている。オオカミは主に肉食性で、角を持つ大型哺乳類のほか、小動物、家畜、腐肉、生ゴミなどを食べる。単独のオオカミやつがいのオオカミは、一般的に大きな群れよりも狩りの成功率が高くなる。狂犬病ウイルスをはじめとする病原体や寄生虫がオオカミに感染する可能性がある。世界の野生オオカミの個体数は2003年には30万頭と推定され、国際自然保護連合（IUCN）では「軽度懸念」とされている。オオカミは人間との交流の歴史が長く、ほとんどの牧畜社会では家畜を襲うことから軽蔑され狩られてきたが、逆に一部の農耕社会や狩猟採集社会では尊敬されてきた。またオオカミは、家畜やペットである犬の祖先とも言われている。オオカミに対する恐怖心は多くの人間社会に存在しているが、記録されている人間への襲撃の大半は狂犬病にかかった個体によるものとされている。オオカミは比較的数が少なく、人から離れた場所に住み、ハンターや牧場主、羊飼いとの経験から人間を恐れるようになっているため、人間を襲うことは稀である。
カピバラ,カピバラ（Hydrochoerus hydrochaeris、和名: オニテンジクネズミ（鬼天竺鼠））は、ネズミ目テンジクネズミ科カピバラ属に分類される齧歯類。H. isthmiusと2種でカピバラ属を構成する。種小名はギリシャ語で水の豚を意味し、漢名も水豚と呼ばれる。現生種の齧歯類では最大の種である。南アメリカ東部アマゾン川流域を中心とした、温暖な水辺に生息する。
カラカル,カラカル（Caracal caracal）は、食肉目ネコ科カラカル属に分類される食肉類。
カワウソ,カワウソ（獺、川獺）は、食肉目イタチ科カワウソ亜科（カワウソあか、Lutrinae）に分類される構成種の総称。
キタリス,キタリス（北栗鼠、Sciurus vulgaris）は、ネズミ目（齧歯目）リス科リス属に分類されるリスの一種。
キヌザル,オマキザル科 (オマキザルか、Cebidae) は、哺乳綱霊長目に分類される科。中南米に棲息するサルのグループである広鼻類（新世界ザル）を構成する科の1つである。南アメリカ・中央アメリカの熱帯・亜熱帯地域に広く分布する。
クロサイ,クロサイ (Diceros bicornis) は、哺乳綱奇蹄目サイ科クロサイ属に分類される奇蹄類。現生種では本種のみでクロサイ属を構成する。
コウモリ,コウモリ（蝙蝠）は、哺乳類翼手目（よくしゅもく、Chiroptera、コウモリ目）に属する構成種の総称である。世界各地に約1000種が棲息する。別名に天鼠（てんそ）、飛鼠（ひそ）がある。
コクジラ,コククジラ（克鯨、学名: Eschrichtius robustus）は、哺乳綱偶蹄目コククジラ科コククジラ属に分類されるヒゲクジラである。
コヨーテ,コヨーテ（学名：Canis latrans）は、食肉目イヌ科イヌ属に分類される食肉類。オオカミに近縁で、形態も似るが小型。
サーバル,サーバル (Leptailurus serval) は、哺乳綱食肉目ネコ科サーバル属に分類される食肉類。本種のみでサーバル属を構成する。
シマウマ,シマウマ（縞馬、斑馬）は、哺乳綱ウマ目ウマ科ウマ属（Equus）のうち、白黒の縞模様を持つ系統である。数種（現代的な分類では3種）からなり、それらは単系統であるシマウマ亜属（Hippotigris）をなす。和名はシマ「ウマ」だが、ウマよりロバの系統と近縁である。
シマリス,シマリス（縞栗鼠、Tamias）は、哺乳綱ネズミ目リス科シマリス属に分類されるリスの総称。日本では、その中でも特にアジアに分布し、亜種が日本国内にも生息するシベリアシマリスを指してシマリスと呼ぶ。体の背側と顔部分に縞があり、頬袋をもつ小型のリスである。シマリス属には24-25種が属しており、アジアのシベリアシマリスを除き、すべての種が北アメリカに分布する。
シロクマ,ホッキョクグマ（北極熊、Ursus maritimus）は、哺乳綱食肉目クマ科クマ属に分類される食肉類。
シロサイ,シロサイ(Ceratotherium simum)は、哺乳綱奇蹄目サイ科シロサイ属に分類される奇蹄類。本種のみでシロサイ属を構成する。
ジネズミ,ジネズミ（地鼠、学名：Crocidura dsinezumi）は、哺乳綱真無盲腸目トガリネズミ科ジネズミ属に分類される小型の哺乳類である。標準和名はニホンジネズミ。
ジャガー,ジャガー（Panthera onca）は、哺乳綱食肉目ネコ科ヒョウ属に分類される食肉類。
ジュゴン,ジュゴン（儒艮、Dugong dugon）は、ジュゴン目ジュゴン科ジュゴン属に分類される哺乳類。本種のみでジュゴン属を構成し、現生種では本種のみでジュゴン科を構成する。
スカンク,スカンク（英: skunk）は、食肉目イヌ型亜目スカンク科（Mephitidae）に属する哺乳類の総称。肛門の両脇にある「肛門傍洞腺（肛門嚢）」から、強烈な悪臭のする分泌液を噴出し、外敵を撃退することで知られている。漢字を当てて臭獣とも表記された。北アメリカから中央アメリカ、南アメリカにかけて生息する。ただしスカンクアナグマ属は、インドネシア、フィリピンなどマレー諸島の西側の島々に生息する。スカンク科には4属12種が属する。多くは白黒まだらの体色をし、模様は種によってそれぞれ異なる。よく目立つ模様は外敵に対する警戒色となっている。四肢は短く、爪は長くてするどい。夜行性。単独性。体長は40〜68cm、体重は0.5〜3kg。ふさふさとした長い尾をもつ。雑食性であり、ネズミなどの小型哺乳類、鳥の卵、昆虫、果実などを食べる。地中に巣穴をつくる。冬などは巣穴にこもることが多いが、真の冬眠をするわけではない。スカンクは狂犬病の媒介者として知られている。テキサス州やカリフォルニア州などでは、人間が狂犬病にかかる感染源のトップに挙げられる。狂犬病に感染したスカンクはあらゆる動物に攻撃を仕掛けるため、これによって感染した家畜を介して、人間にも感染すると考えられる。なお、スカンクが肛門傍洞腺（肛門嚢）から放出した分泌液を介して狂犬病に感染した例は知られていない。
セイウチ,セイウチ (海象、海馬、Odobenus rosmarus) は、哺乳綱・食肉目・セイウチ科・セイウチ属に分類される鰭脚類の動物。本種のみでセイウチ属を構成する。日本語のセイウチはロシア語のсивучに由来する外来語だがロシア語のсивучはトドである。
チンチラ,チンチラ (Chinchilla lanigera) は、齧歯目チンチラ科チンチラ属に分類される齧歯類。
チーター,チーター（英: cheetah、学名: Acinonyx jubatus）は、哺乳綱食肉目ネコ科チーター属に分類される食肉類。現生種では、本種のみでチーター属を構成する。約3秒で時速0キロから96キロまで加速できるとされ、世界最速の哺乳類といわれている。狩猟豹（しゅりょうひょう）や猟豹（りょうひょう）とも呼ばれた。英名 cheetah はヒンディー語 cītā からの借用で、究極的には「模様のある」を意味するサンスクリットに由来する。属名Acionyxはギリシア語で「動かない爪」を意味する造語で、ネコ科に珍しくつねに突出したままの爪（後述）を指しての命名。種小名jubatusは「たてがみのある」を意味するラテン語で、頸部から背にかけての伸長した体毛（後述）に由来する。
